modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
10305,2021-07,1008,78,74,1,61,8,1,0,0,6,33,0,27,32,1,74,9,3,53,7,4,3,0,184,51,13,34,32,2,254,296,302,122
10306,2021-07,1669,116,75,6,82,8,2,0,0,2,42,0,38,17,6,75,16,2,80,13,5,3,8,336,109,16,53,36,2,369,523,539,200
10307,2021-07,409,68,22,1,23,2,1,0,0,2,7,0,1,4,1,22,4,19,34,9,0,0,0,91,34,0,18,16,1,122,79,144,47
10308,2021-07,842,55,51,0,29,11,1,0,0,0,16,0,11,15,0,51,10,3,29,9,3,1,2,179,70,2,28,23,1,219,209,283,107
10309,2021-07,1073,80,107,0,57,13,0,0,0,2,32,0,13,8,0,107,11,0,50,17,2,3,3,190,90,3,33,35,0,305,217,361,155
10310,2021-07,1068,217,33,2,44,20,3,0,0,1,17,0,18,37,2,33,4,3,168,28,12,2,4,138,38,16,65,25,3,438,280,235,87
10312,2021-07,1915,131,158,3,100,23,0,0,0,4,42,0,32,18,3,158,14,1,64,24,28,3,3,389,147,6,64,54,0,514,435,634,278
10314,2021-07,2617,229,146,4,107,14,2,0,0,14,69,0,64,32,4,146,14,1,155,43,16,8,8,510,141,14,82,67,2,633,827,787,301
10451,2021-07,2357,907,304,62,146,38,43,0,0,11,2,0,11,28,62,304,11,31,239,444,165,71,72,21,34,105,92,62,43,1328,765,92,67
10452,2021-07,4058,1670,244,100,282,25,2,0,0,7,6,0,23,97,100,244,7,62,332,883,366,125,126,15,26,231,464,47,2,2133,1701,129,46
10453,2021-07,4398,2289,294,61,267,30,4,0,2,4,3,0,17,122,61,294,3,86,385,1354,455,176,115,64,28,214,216,48,4,2795,1342,160,49
10454,2021-07,1208,316,71,24,87,21,20,0,2,4,10,0,15,37,24,71,9,22,114,132,32,39,46,25,12,46,128,40,21,471,528,105,43
10455,2021-07,1457,457,152,24,131,27,8,0,1,8,17,0,11,47,24,152,10,10,213,182,41,63,27,54,17,81,64,49,8,707,504,130,59
10456,2021-07,3740,1516,158,59,351,72,6,0,0,10,16,0,37,105,59,158,12,48,446,729,220,143,104,84,16,294,218,103,6,1910,1469,204,48
10457,2021-07,3702,1601,188,42,290,55,9,0,0,2,18,0,23,86,42,188,16,85,373,759,363,113,118,100,36,212,190,67,9,1966,1304,274,82
10458,2021-07,3529,1381,145,27,342,57,23,0,0,8,4,0,17,94,27,145,57,60,441,563,254,173,124,69,12,258,147,80,28,1704,1473,207,37
10459,2021-07,1743,408,79,56,171,43,1,0,3,6,21,0,13,63,56,79,4,20,146,185,53,76,57,64,27,115,87,57,2,651,771,186,76
10460,2021-07,2931,1136,179,43,231,26,0,0,2,0,28,0,25,116,43,179,5,32,250,633,182,103,83,99,39,157,117,36,1,1561,994,243,96
10461,2021-07,1693,254,205,20,129,17,6,0,1,8,56,0,50,101,20,205,8,19,156,55,13,24,28,180,35,51,21,44,6,694,476,330,143
10462,2021-07,2439,611,243,26,162,29,2,0,2,9,60,0,39,165,26,243,21,12,340,175,52,115,66,100,26,112,108,55,2,1157,893,208,124
10463,2021-07,2471,924,200,43,150,37,3,0,1,3,7,0,13,74,43,200,28,39,262,455,124,57,48,63,64,96,131,60,3,1291,835,160,122
10464,2021-07,255,21,35,0,14,2,0,0,0,3,12,0,14,7,0,35,4,4,8,2,2,5,1,22,26,8,0,11,1,78,80,40,45
10465,2021-07,1671,335,267,5,58,10,5,0,0,1,73,0,78,64,5,267,11,13,165,86,26,4,13,244,38,7,32,25,5,833,308,367,133
10466,2021-07,16560,14581,295,22,189,25,2,0,1,2,47,0,97,219,22,295,9,41,14377,118,35,48,51,180,35,93,86,46,2,15273,735,399,105
10467,2021-07,3791,1154,242,54,283,46,9,0,1,5,43,0,13,165,54,242,11,26,428,465,174,145,101,99,28,211,192,90,10,1796,1549,246,100
10468,2021-07,4304,1797,516,75,288,44,9,0,0,7,9,0,10,104,75,516,10,13,456,904,389,136,134,22,10,199,180,59,10,2555,1460,174,46
10469,2021-07,2340,395,247,11,166,24,0,0,2,4,62,0,106,187,11,247,2,83,232,64,13,21,28,251,51,77,45,44,0,1057,597,475,167
10470,2021-07,589,97,83,8,69,11,1,0,0,2,5,0,15,37,8,83,5,4,54,23,11,11,5,52,15,31,12,24,1,242,167,123,32
10471,2021-07,794,155,103,6,30,12,0,0,0,1,2,0,29,17,6,103,14,8,73,34,15,12,19,54,34,15,51,19,0,310,324,93,48
10472,2021-07,3176,1151,337,93,200,45,5,0,0,2,50,0,37,171,93,337,15,77,281,468,308,74,59,72,30,127,165,75,5,1819,947,225,105
10473,2021-07,2026,841,175,16,91,10,0,0,1,3,78,0,42,96,16,175,14,24,347,333,102,31,19,97,16,37,75,30,0,1223,417,240,116
10474,2021-07,673,106,41,7,99,17,1,0,0,2,40,0,13,34,7,41,0,2,42,48,13,34,18,22,9,49,44,21,2,217,264,103,66
10475,2021-07,448,71,65,2,52,1,0,0,1,3,31,0,4,12,2,65,4,0,57,9,1,12,18,9,15,37,7,9,0,158,175,47,59
11001,2021-07,176,11,25,0,8,9,0,0,0,0,1,0,8,5,0,25,2,0,7,2,0,0,0,27,4,0,18,9,0,49,68,44,6
11004,2021-07,291,37,19,0,13,4,0,0,0,3,10,0,8,1,0,19,2,3,18,1,4,1,0,41,14,6,1,9,0,89,94,65,34
11040,2021-07,70,11,4,0,0,0,0,0,0,0,1,0,0,7,0,4,0,6,1,4,0,0,0,22,1,0,1,1,0,29,13,24,3
11101,2021-07,1740,426,328,1,62,13,10,0,3,8,28,0,35,103,1,328,29,52,116,164,48,4,8,111,75,18,27,42,13,958,296,253,178
11102,2021-07,1158,314,134,4,40,11,8,0,1,0,3,0,4,106,4,134,17,21,156,90,15,7,4,155,35,11,14,33,10,605,217,224,69
11103,2021-07,1358,324,203,5,74,11,2,0,1,7,11,0,12,114,5,203,14,195,68,38,9,7,18,233,19,10,9,38,2,680,228,344,66
11104,2021-07,683,132,71,3,32,10,8,0,0,2,10,0,8,28,3,71,10,3,58,31,11,18,11,63,7,17,8,21,8,273,219,103,59
11105,2021-07,1367,208,124,3,66,25,6,0,1,6,15,0,20,90,3,124,17,66,48,50,25,7,7,266,40,20,16,38,6,537,315,381,90
11106,2021-07,1121,218,114,4,49,12,9,0,0,2,9,0,11,81,4,114,16,30,98,37,34,11,12,176,26,20,11,31,9,467,257,251,106
11109,2021-07,128,27,50,0,2,0,0,0,0,0,3,0,5,0,0,50,3,5,6,9,4,0,0,1,5,0,0,9,0,95,8,5,11
11201,2021-07,2027,518,310,2,77,43,43,0,8,9,25,0,19,23,2,310,50,50,256,113,48,11,11,261,57,19,48,84,53,915,429,368,178
11203,2021-07,2687,556,197,28,210,29,7,0,1,6,15,0,72,202,28,197,10,26,315,150,52,62,62,282,22,106,48,61,8,1192,770,561,95
11204,2021-07,1641,151,281,6,83,7,2,0,0,4,16,0,55,119,6,281,20,10,92,21,8,18,19,276,21,31,23,22,2,648,418,457,94
11205,2021-07,1495,294,308,5,89,30,3,0,1,7,17,0,13,46,5,308,9,47,115,83,14,19,11,201,23,30,12,44,4,730,334,302,81
11206,2021-07,2406,799,209,9,133,66,14,0,3,3,13,0,34,107,9,209,28,84,344,281,45,17,33,283,29,63,52,92,17,1230,544,434,89
11207,2021-07,3740,788,399,28,333,71,7,0,2,15,47,0,61,251,28,399,14,47,354,287,80,46,59,289,36,136,151,131,7,1600,1059,772,171
11208,2021-07,4304,1342,510,30,324,60,13,0,0,6,20,0,64,364,30,510,15,101,719,358,147,44,54,268,52,137,144,82,13,2457,911,710,131
11209,2021-07,2252,232,293,3,113,33,8,0,0,5,37,0,15,113,3,293,23,42,114,38,11,21,35,454,49,62,27,58,9,714,661,627,183
11210,2021-07,1909,281,185,15,150,23,14,0,0,3,7,0,41,152,15,185,16,14,187,50,14,57,51,207,38,80,20,35,14,698,681,383,98
11211,2021-07,3677,1342,234,46,172,78,26,0,2,24,17,0,32,107,46,234,55,307,394,419,163,25,40,468,47,52,102,134,36,1790,792,751,174
11212,2021-07,2525,527,181,27,280,27,10,0,0,6,25,0,49,191,27,181,9,19,290,121,52,78,68,130,20,178,71,47,11,1080,931,369,87
11213,2021-07,2479,619,187,34,204,64,2,0,0,7,37,0,20,97,34,187,12,45,252,254,53,88,74,213,32,135,43,85,2,1026,853,358,155
11214,2021-07,1884,285,234,7,126,18,9,0,0,4,23,0,27,134,7,234,25,21,196,29,10,22,15,311,59,52,16,39,9,732,434,507,163
11215,2021-07,2331,266,199,8,92,52,22,0,0,10,31,0,13,47,8,199,37,39,66,56,29,27,19,668,88,45,31,81,31,584,607,802,226
11216,2021-07,2874,731,183,47,180,108,11,0,2,5,16,0,19,65,47,183,25,58,290,296,55,46,77,546,33,73,43,123,12,1061,775,799,104
11217,2021-07,1666,390,187,6,71,65,38,0,4,5,19,0,19,28,6,187,52,60,123,124,28,6,8,274,40,16,21,89,39,641,367,381,149
11218,2021-07,1767,272,169,6,111,28,8,0,0,5,10,0,22,89,6,169,8,7,135,81,38,23,26,277,48,36,24,54,8,648,471,447,139
11219,2021-07,1463,96,94,5,128,11,2,0,0,4,12,0,14,74,5,94,11,16,37,20,12,10,9,330,47,31,16,23,2,326,362,598,152
11220,2021-07,2243,435,215,25,149,26,12,0,2,7,47,0,16,133,25,215,18,38,238,93,39,27,38,248,67,67,67,55,12,889,640,449,198
11221,2021-07,3433,873,229,14,267,111,13,0,3,5,28,0,28,163,14,229,49,62,478,170,110,52,75,572,48,120,101,140,14,1356,921,879,123
11222,2021-07,1922,388,153,16,117,23,9,0,0,10,8,0,14,71,16,153,25,64,109,142,31,14,12,312,63,42,33,46,23,688,547,479,139
11223,2021-07,1783,213,236,6,91,16,4,0,0,3,5,0,40,99,6,236,22,10,110,54,14,21,20,167,50,35,45,31,4,721,602,310,115
11224,2021-07,1277,380,113,12,62,15,12,0,1,5,13,0,12,52,12,113,11,4,222,130,8,8,4,41,12,32,14,77,12,608,409,125,46
11225,2021-07,2301,565,209,34,178,46,12,0,0,1,17,0,21,89,34,209,42,28,210,228,55,67,85,219,17,119,60,65,14,948,824,348,102
11226,2021-07,4294,1073,402,118,364,83,19,0,0,3,13,0,41,200,118,402,25,45,443,409,150,156,120,229,33,244,67,131,19,1962,1530,510,142
11228,2021-07,1023,85,132,0,47,12,16,0,0,1,13,0,11,43,0,132,4,4,47,18,4,4,5,254,23,4,14,22,16,328,233,369,55
11229,2021-07,1909,199,187,12,108,28,8,0,0,5,12,0,63,106,12,187,23,5,107,44,14,20,20,243,51,40,61,44,8,617,653,467,120
11230,2021-07,1850,219,202,12,176,13,3,0,0,3,8,0,15,89,12,202,14,5,145,36,18,46,31,261,36,80,25,37,4,579,661,466,103
11231,2021-07,1130,188,99,8,56,33,4,0,0,5,21,0,9,21,8,99,14,28,79,53,12,10,11,273,18,14,18,49,4,340,278,361,98
11232,2021-07,1057,270,107,4,70,8,3,0,0,3,23,0,9,48,4,107,10,27,98,113,10,9,6,131,69,22,24,17,3,454,226,218,139
11233,2021-07,2936,641,344,10,256,86,6,0,1,4,19,0,33,135,10,344,18,15,338,224,44,67,73,332,25,138,61,108,6,1253,858,631,80
11234,2021-07,2737,363,336,2,102,13,3,0,2,8,16,0,153,190,2,336,22,26,213,61,25,12,15,371,95,21,73,59,3,1144,727,618,186
11235,2021-07,1878,325,184,5,131,56,22,0,2,7,16,0,54,133,5,184,31,35,175,63,17,14,24,186,26,32,19,93,25,761,507,381,111
11236,2021-07,2747,557,325,6,148,15,2,0,0,3,2,0,39,308,6,325,11,10,379,118,35,20,18,378,48,44,40,44,3,1374,578,656,92
11237,2021-07,2234,784,139,20,132,64,9,0,1,13,11,0,13,118,20,139,19,116,284,265,98,24,24,245,17,54,134,91,10,1148,555,363,67
11238,2021-07,2531,612,243,12,150,94,15,0,5,10,14,0,29,69,12,243,29,67,258,195,60,28,24,435,63,52,82,124,15,1009,633,627,123
11239,2021-07,279,44,30,3,33,1,2,0,1,1,1,0,25,5,3,30,0,0,35,4,5,7,12,12,7,30,13,12,2,111,110,28,16
11251,2021-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11354,2021-07,1139,191,64,10,60,11,8,0,3,11,12,0,12,71,10,64,20,15,110,36,9,8,8,127,46,19,18,32,10,379,390,202,126
11355,2021-07,1610,414,122,2,78,11,7,0,2,10,7,0,16,247,2,122,8,3,286,67,43,11,10,180,19,27,17,41,8,832,356,308,65
11356,2021-07,1356,186,115,0,41,9,0,0,0,2,9,0,35,77,0,115,7,7,113,47,12,9,4,182,38,7,11,13,0,446,586,247,64
11357,2021-07,1367,224,104,1,42,12,0,0,0,1,17,0,36,27,1,104,25,9,116,59,13,2,1,297,40,5,18,24,0,434,410,404,95
11358,2021-07,1179,87,98,4,49,10,3,0,0,2,18,1,17,45,4,98,10,10,51,13,3,2,0,323,65,12,13,25,3,271,346,420,114
11359,2021-07,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0
11360,2021-07,395,43,60,1,7,3,0,0,0,0,3,0,5,7,1,60,4,0,37,1,1,0,2,81,5,3,53,5,0,130,138,95,27
11361,2021-07,1042,84,44,0,32,3,2,0,0,0,12,0,19,34,0,44,3,29,25,19,8,3,1,261,43,5,157,12,2,214,375,345,94
11362,2021-07,413,22,39,0,14,6,1,0,0,0,6,0,9,4,0,39,2,2,12,2,4,0,0,97,21,1,11,13,1,95,130,123,51
11363,2021-07,297,18,23,0,3,0,0,0,0,1,1,0,1,2,0,23,4,1,9,4,0,0,0,60,24,0,6,1,0,45,81,79,91
11364,2021-07,941,36,84,0,33,6,0,0,0,1,21,0,13,14,0,84,8,0,15,7,3,1,3,237,63,8,19,14,0,197,347,286,97
11365,2021-07,1333,163,185,2,30,4,2,0,0,2,18,0,57,32,2,185,16,8,110,17,10,3,1,194,42,10,79,16,2,569,345,256,145
11366,2021-07,1584,958,61,0,18,1,1,0,0,5,6,0,12,15,0,61,16,0,126,7,803,2,2,87,26,0,18,9,1,1191,204,125,54
11367,2021-07,805,77,52,6,40,2,0,0,1,2,13,0,25,21,6,52,6,2,50,9,9,7,7,139,52,21,7,12,0,194,277,221,101
11368,2021-07,2930,907,284,14,132,22,12,0,1,4,21,0,35,445,14,284,9,65,367,281,104,35,30,146,46,57,98,45,17,1772,608,339,149
11369,2021-07,1074,228,107,2,48,8,1,0,25,2,30,0,14,138,2,107,14,7,163,25,18,7,14,80,23,17,16,14,1,513,324,148,74
11370,2021-07,629,85,49,0,29,7,2,0,1,1,11,0,3,68,0,49,3,3,55,15,7,2,0,106,21,11,17,13,2,253,156,147,58
11372,2021-07,1454,339,103,8,70,8,40,0,5,8,7,0,19,103,8,103,16,42,147,94,24,24,11,52,35,40,26,37,45,681,384,133,174
11373,2021-07,2221,539,266,17,96,20,24,0,2,4,35,1,13,249,17,266,18,9,236,223,33,25,11,190,53,58,46,44,35,1139,520,298,185
11374,2021-07,1090,88,250,11,45,6,5,0,0,7,23,0,27,77,11,250,14,6,52,8,6,12,24,64,28,19,11,29,5,551,287,115,103
11375,2021-07,1417,157,70,6,84,22,35,0,2,28,39,0,17,52,6,70,47,22,48,21,10,17,14,157,42,34,46,67,36,308,559,258,189
11377,2021-07,2108,376,267,2,104,54,23,0,3,1,44,0,61,202,2,267,19,45,193,78,36,22,25,175,49,40,47,69,39,1034,463,337,166
11378,2021-07,1725,157,451,1,55,9,3,0,1,1,17,0,134,101,1,451,14,3,83,42,14,1,4,238,55,18,16,15,3,902,332,350,123
11379,2021-07,1420,115,245,3,64,27,4,0,0,2,23,0,55,63,3,245,16,5,61,23,4,6,6,203,32,25,8,130,4,547,343,281,115
11385,2021-07,4125,597,729,15,225,49,23,0,0,17,44,0,101,330,15,729,16,99,272,154,51,27,20,658,88,82,86,91,23,1916,932,936,227
11411,2021-07,739,126,45,1,34,2,2,0,0,0,12,0,38,25,1,45,20,3,65,16,22,2,1,145,36,5,21,6,3,241,205,213,71
11412,2021-07,1344,203,93,2,110,8,4,0,1,4,11,0,42,72,2,93,0,7,151,37,8,3,7,244,39,20,29,21,4,512,305,410,92
11413,2021-07,1476,157,102,1,75,6,2,0,2,1,23,0,75,53,1,102,1,1,112,25,18,7,7,299,50,12,20,15,2,482,373,477,127
11414,2021-07,916,175,59,3,53,11,0,0,1,0,20,0,31,27,3,59,3,7,93,33,36,5,2,184,49,11,13,19,0,346,188,267,96
11415,2021-07,499,85,26,0,38,0,4,0,0,0,5,0,5,27,0,26,6,2,43,17,4,11,11,41,7,22,7,5,4,174,203,72,41
11416,2021-07,1164,273,144,4,56,11,1,0,0,2,11,0,84,122,4,144,3,20,156,75,19,3,2,112,29,6,23,18,1,691,172,211,71
11417,2021-07,1473,311,204,3,45,18,0,0,0,5,7,0,88,120,3,204,4,3,240,24,22,4,3,228,34,6,15,43,0,760,266,343,61
11418,2021-07,1383,328,203,1,62,10,10,0,0,1,18,0,51,129,1,203,4,11,211,70,32,7,13,132,26,22,15,24,10,785,249,242,73
11419,2021-07,2222,682,234,2,110,8,6,0,0,6,12,0,105,238,2,234,4,65,474,77,61,3,3,236,37,39,23,25,6,1343,366,391,91
11420,2021-07,2322,590,193,5,81,15,6,0,0,4,10,0,113,189,5,193,16,13,404,92,64,6,6,346,33,23,14,30,6,1190,488,531,77
11421,2021-07,1718,393,405,2,38,4,0,0,0,0,11,0,76,168,2,405,8,11,274,75,25,7,8,155,36,10,46,8,0,1107,281,239,83
11422,2021-07,1185,210,102,5,44,4,0,0,2,2,6,0,43,44,5,102,2,16,153,21,17,1,2,190,57,10,35,18,0,436,370,275,86
11423,2021-07,1055,180,86,1,79,9,0,0,1,1,12,0,24,72,1,86,3,8,123,31,15,2,6,155,31,5,26,93,0,404,206,286,66
11426,2021-07,579,34,44,0,21,5,0,0,0,1,6,0,14,15,0,44,2,0,28,3,1,2,0,108,19,4,16,18,0,118,258,148,37
11427,2021-07,623,95,33,1,28,4,1,0,0,0,6,0,14,12,1,33,2,0,83,7,3,3,2,93,27,6,40,8,1,187,239,142,46
11428,2021-07,622,109,47,1,20,0,1,0,0,0,8,0,24,29,1,47,4,4,79,16,6,2,0,128,23,0,6,5,1,246,152,169,49
11429,2021-07,887,155,95,1,52,6,1,0,0,0,9,0,41,47,1,95,7,9,88,46,5,0,4,142,30,6,24,14,1,381,183,245,63
11430,2021-07,176,0,6,0,0,0,0,0,68,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,7,162,2,5
11432,2021-07,1910,473,51,5,145,19,17,0,0,9,7,0,10,90,5,51,5,4,156,50,257,34,20,195,46,66,31,44,25,851,529,356,105
11433,2021-07,1670,539,98,1,128,17,7,0,0,2,5,0,47,114,1,98,3,19,433,64,18,18,12,155,23,32,25,32,7,866,301,395,69
11434,2021-07,2125,308,177,8,107,27,4,0,1,2,17,0,113,149,8,177,7,9,194,51,46,9,22,306,54,18,21,50,4,855,490,610,116
11435,2021-07,1769,378,152,11,138,22,22,0,3,5,13,0,57,137,11,152,11,7,227,82,49,14,15,152,29,42,40,40,28,819,417,380,85
11436,2021-07,922,170,102,3,52,15,0,0,0,1,0,0,37,77,3,102,5,2,130,14,19,0,4,134,20,6,5,24,0,421,170,275,32
11691,2021-07,1311,226,91,8,89,16,1,0,3,1,23,0,31,78,8,91,7,4,144,51,19,39,50,174,42,69,15,47,1,472,430,287,74
11692,2021-07,492,95,28,3,23,4,1,0,0,0,13,0,11,20,3,28,3,2,48,38,4,12,11,71,12,17,4,13,1,182,156,108,32
11693,2021-07,497,115,133,0,19,2,3,0,0,2,11,0,3,13,0,133,0,32,47,29,3,3,0,24,15,3,8,11,3,285,88,58,52
11694,2021-07,926,144,279,14,24,5,6,0,1,2,18,0,2,23,14,279,2,2,79,55,3,9,18,82,14,11,24,20,6,492,211,122,75
11695,2021-07,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
11697,2021-07,34,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,16,0,0,0,0,0,1,0,0,3,0,23,6,0,2
12345,2021-07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10000,2021-08,32,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,4,1,0,0,0,6,0,0,0,0,13,11,0,8
10001,2021-08,1354,239,156,3,35,26,65,0,20,4,1,0,1,4,3,156,44,18,113,52,10,2,4,47,30,10,121,79,113,452,512,102,96
10002,2021-08,2506,1009,334,15,118,36,39,0,8,7,45,0,5,20,15,334,38,198,249,360,135,21,25,117,42,40,38,65,40,1450,502,260,189
10003,2021-08,1624,406,72,38,77,29,59,0,17,20,5,0,3,9,38,72,50,47,156,125,21,26,29,225,32,34,28,77,102,550,491,303,101
10004,2021-08,152,23,19,0,8,1,8,0,1,4,1,0,1,2,0,19,12,3,1,6,1,0,0,3,7,3,1,38,8,37,35,9,25
10005,2021-08,138,29,8,0,3,0,10,0,1,1,2,0,1,1,0,8,11,0,11,6,1,0,0,18,9,0,0,8,10,36,28,25,31
10006,2021-08,102,35,9,0,5,0,0,0,1,1,0,0,0,4,0,9,15,3,4,11,2,0,0,9,4,1,1,14,0,41,28,13,6
10007,2021-08,297,52,28,0,7,1,18,0,3,7,4,0,2,4,0,28,34,1,8,3,6,0,0,24,21,0,3,41,18,68,91,34,45
10009,2021-08,1980,602,97,21,127,46,26,0,12,14,3,0,8,29,21,97,39,83,204,224,39,31,22,152,21,70,61,76,99,840,656,251,58
10010,2021-08,582,154,29,4,32,2,42,0,16,5,1,0,4,6,4,29,20,20,48,49,13,5,11,71,15,18,7,13,44,198,207,95,25
10011,2021-08,1463,255,49,12,89,33,57,0,17,9,0,0,10,8,12,49,36,10,77,113,19,9,18,217,30,21,13,103,104,398,441,352,65
10012,2021-08,940,247,86,20,49,11,36,0,10,16,13,0,3,4,20,86,21,65,52,58,50,8,3,119,23,27,4,77,42,347,230,166,78
10013,2021-08,920,147,94,3,58,33,68,0,9,11,17,0,4,3,3,94,28,30,29,40,19,4,6,102,29,15,7,63,69,283,221,178,106
10014,2021-08,1129,328,53,13,61,27,39,0,15,10,21,0,1,2,13,53,32,83,63,118,22,5,8,160,9,25,10,60,51,380,279,231,128
10016,2021-08,1322,212,82,9,76,17,140,0,21,13,0,0,0,6,9,82,38,16,113,36,8,7,17,175,56,41,19,53,151,344,458,239,77
10017,2021-08,386,94,39,4,7,4,34,0,15,1,3,0,2,3,4,39,6,31,34,17,6,0,0,20,19,4,7,16,36,149,113,29,43
10018,2021-08,529,42,36,1,19,2,67,0,5,2,0,0,2,17,1,36,1,2,13,21,5,2,3,31,12,7,3,18,102,198,139,50,22
10019,2021-08,1604,269,220,15,65,9,162,0,23,7,5,0,4,18,15,220,30,57,38,71,73,15,21,97,41,34,16,66,204,650,424,171,89
10021,2021-08,487,68,35,5,16,22,10,0,14,5,1,0,2,7,5,35,25,18,13,8,3,3,9,83,15,9,11,40,12,101,185,103,46
10022,2021-08,669,141,54,3,36,9,23,0,18,4,2,0,0,7,3,54,40,32,25,35,9,4,6,68,55,14,21,35,23,186,234,106,85
10023,2021-08,1945,237,90,9,54,25,135,0,9,5,2,0,9,6,9,90,109,21,41,38,26,4,8,162,25,31,21,55,205,383,997,207,98
10024,2021-08,1199,166,107,14,66,38,65,0,11,15,0,0,5,9,14,107,48,11,40,54,12,32,35,194,41,39,6,80,75,280,430,253,81
10025,2021-08,1950,586,125,14,147,102,25,0,15,9,2,0,7,10,14,125,50,32,208,220,62,49,50,171,31,106,48,138,27,733,718,261,73
10026,2021-08,1710,750,83,11,107,60,16,0,2,6,0,0,3,12,11,83,19,56,245,358,57,37,46,83,2,82,32,79,20,922,537,135,17
10027,2021-08,2078,718,128,33,167,71,18,0,7,6,12,0,4,9,33,128,42,26,284,298,49,56,58,132,30,101,63,106,18,857,767,245,85
10028,2021-08,1093,282,34,12,33,28,26,0,9,12,2,0,2,7,12,34,52,73,65,45,10,16,28,120,20,20,10,55,45,358,410,154,71
10029,2021-08,1718,638,95,35,126,33,17,0,13,8,2,0,15,28,35,95,26,45,224,279,52,51,59,89,18,82,51,65,20,787,626,166,54
10030,2021-08,1149,349,96,9,102,23,4,0,0,2,0,0,10,16,9,96,11,14,122,160,40,57,48,81,10,77,30,34,4,484,467,144,16
10031,2021-08,3219,1654,90,51,185,36,13,0,3,3,0,0,13,11,51,90,20,60,735,742,96,154,121,81,19,160,169,55,14,1778,1212,132,28
10032,2021-08,2745,1402,124,46,171,28,17,0,4,4,3,0,16,5,46,124,17,9,299,910,162,100,67,69,16,128,114,44,17,1562,933,156,33
10033,2021-08,2121,946,166,29,137,32,7,0,1,3,0,0,8,2,29,166,25,23,213,437,206,92,62,39,11,109,133,53,7,1143,783,111,24
10034,2021-08,2462,1402,185,28,121,25,31,0,2,2,14,0,5,22,28,185,17,53,167,762,382,70,44,43,8,89,93,53,32,1664,582,94,37
10035,2021-08,1661,260,86,28,108,44,14,0,5,3,3,0,1,40,28,86,11,4,92,122,14,41,32,43,33,82,35,59,18,910,542,83,49
10036,2021-08,1556,248,62,15,59,18,108,0,17,11,3,0,12,17,15,62,28,79,73,48,20,10,13,72,30,24,5,60,128,449,697,158,64
10037,2021-08,756,274,67,8,56,10,13,0,2,0,5,0,5,25,8,67,19,2,79,149,23,9,30,18,5,30,23,19,29,395,231,60,22
10038,2021-08,404,79,21,1,29,6,14,0,2,6,6,0,1,9,1,21,23,4,27,17,6,3,6,30,8,9,3,41,15,110,130,65,43
10039,2021-08,1160,415,45,9,91,31,4,0,4,8,1,0,6,8,9,45,10,4,137,211,21,46,68,18,7,72,35,52,5,477,542,72,12
10040,2021-08,1862,934,175,13,120,28,0,0,0,3,22,0,4,6,13,175,6,72,215,513,121,72,61,30,16,97,80,42,0,1145,569,60,46
10041,2021-08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10044,2021-08,35,6,2,2,9,0,0,0,0,1,0,0,0,0,2,2,3,0,0,2,1,1,2,0,0,9,0,2,0,5,28,0,0
10045,2021-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10065,2021-08,510,62,37,2,39,6,13,0,7,6,2,0,0,1,2,37,36,2,16,4,4,4,8,68,29,22,6,30,27,98,178,101,76
10069,2021-08,62,18,10,0,1,1,1,0,0,0,0,0,0,0,0,10,13,0,3,2,0,0,0,6,0,0,0,4,4,18,27,8,1
10075,2021-08,400,52,31,1,29,23,8,0,1,4,1,0,0,1,1,31,9,5,28,10,0,7,6,57,17,15,4,33,8,85,142,91,41
10103,2021-08,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
10105,2021-08,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0
